subscription_id,customer_id,plan,total_usage_gb,overage_gb,total_bill,final_status
S001,C001,BASIC,60,10,599,ACTIVE
S002,C002,STANDARD,230,30,1299,ACTIVE
S003,C003,PREMIUM,550,0,1999,SUSPENDED
S004,C004,BASIC,30,0,0,CANCELLED
S005,C005,STANDARD,220,20,1199,ACTIVE
S006,C006,BASIC,60,10,599,ACTIVE
S007,C007,PREMIUM,550,50,2499,ACTIVE
S008,C008,STANDARD,220,0,999,SUSPENDED
S009,C009,BASIC,45,0,499,ACTIVE
S010,C010,PREMIUM,400,0,0,CANCELLED
S011,C011,STANDARD,190,0,999,ACTIVE
S012,C012,BASIC,20,0,499,ACTIVE
S013,C013,PREMIUM,550,50,2499,ACTIVE
S014,C014,STANDARD,230,30,1299,ACTIVE
S015,C015,BASIC,5,0,499,ACTIVE
S016,C016,PREMIUM,300,0,1999,ACTIVE
S017,C017,STANDARD,250,50,1499,ACTIVE
S018,C018,BASIC,30,0,499,ACTIVE
S019,C019,PREMIUM,600,100,2999,ACTIVE
S020,C020,STANDARD,100,0,0,CANCELLED
S021,C021,BASIC,40,0,499,ACTIVE
S022,C022,STANDARD,210,10,1099,ACTIVE
S023,C023,PREMIUM,700,0,1999,SUSPENDED
S024,C024,BASIC,55,5,549,ACTIVE
S025,C025,STANDARD,190,0,999,ACTIVE
S026,C026,PREMIUM,530,30,2299,ACTIVE
S027,C027,BASIC,10,0,499,ACTIVE
S028,C028,STANDARD,210,10,1099,ACTIVE
S029,C029,PREMIUM,550,50,2499,ACTIVE
S030,C030,BASIC,70,0,499,SUSPENDED
